"total_time","status","distance","air_time","month","day_of_week","day","scheduled_departure","late_night_departure","departure_delay","scheduled_arrival","arrival_delay","airline","destination_airport","state","latitude","longitude"
283,"on time",1589,232,"2","Fri",20,1709,FALSE,31,1932,20,"OO","SFO","CA",37.619,-122.37484
148,"on time",680,115,"6","Tue",9,1934,FALSE,0,2044,18,"DL","DEN","CO",39.85841,-104.667
103,"delayed",393,80,"6","Tue",23,1509,FALSE,-2,1630,22,"DL","MCI","MO",39.29761,-94.71391
209,"delayed",936,128,"6","Sat",27,1641,FALSE,65,2005,65,"NK","BWI","MD",39.1754,-76.6682
309,"delayed",907,115,"4","Wed",8,1110,FALSE,168,1439,160,"DL","ATL","GA",33.64044,-84.42694
181,"delayed",908,106,"3","Fri",27,1945,FALSE,57,2309,37,"EV","IAD","VA",38.94453,-77.45581
123,"delayed",489,72,"8","Sat",22,2153,FALSE,37,2235,21,"DL","RAP","SD",44.04532,-103.05737
213,"delayed",528,67,"8","Tue",4,1200,FALSE,129,1433,120,"NK","DTW","MI",42.21206,-83.34884
193,"delayed",1020,124,"7","Wed",15,1914,FALSE,12,2258,29,"DL","LGA","NY",40.77724,-73.87261
197,"delayed",334,62,"4","Thur",2,753,FALSE,113,929,101,"UA","ORD","IL",41.9796,-87.90446
212,"delayed",1310,145,"4","Sat",4,1950,FALSE,36,2356,26,"DL","MCO","FL",28.42889,-81.31603
279,"delayed",1589,206,"8","Fri",21,1430,FALSE,53,1626,43,"DL","SFO","CA",37.619,-122.37484
854,"delayed",852,106,"8","Sun",30,1028,FALSE,732,1258,704,"AA","DFW","TX",32.89595,-97.0372
463,"delayed",1517,198,"8","Mon",24,1745,FALSE,210,1934,234,"DL","SMF","CA",38.69542,-121.59077
225,"on time",1299,188,"12","Wed",9,1940,FALSE,-1,2110,15,"DL","LAS","NV",36.08036,-115.15233
227,"delayed",1008,127,"6","Mon",29,1956,FALSE,56,2340,63,"EV","EWR","NJ",40.6925,-74.16866
112,"on time",488,67,"6","Thur",4,1910,FALSE,19,2145,17,"OO","FWA","IN",40.97847,-85.19515
91,"delayed",228,46,"9","Thur",17,1734,FALSE,25,1833,32,"DL","MSN","WI",43.13986,-89.33751
351,"delayed",1008,129,"4","Fri",10,705,FALSE,186,1048,188,"EV","EWR","NJ",40.6925,-74.16866
256,"on time",1532,211,"2","Mon",16,1155,FALSE,-4,1353,18,"DL","SAN","CA",32.73356,-117.18966
123,"delayed",528,92,"5","Sat",30,1148,FALSE,10,1427,24,"NK","DTW","MI",42.21206,-83.34884
196,"on time",1034,177,"3","Wed",4,1725,FALSE,-1,2021,20,"EV","IAH","TX",29.98047,-95.33972
267,"delayed",1175,144,"11","Mon",30,1940,FALSE,86,2058,69,"DL","GEG","WA",47.61986,-117.53384
286,"delayed",1532,202,"7","Fri",17,2157,FALSE,66,2341,62,"DL","SAN","CA",32.73356,-117.18966
163,"delayed",174,35,"2","Tue",10,1952,FALSE,71,2101,94,"OO","HIB","MN",47.3866,-92.83899
266,"delayed",1426,176,"12","Mon",14,1744,FALSE,75,1942,28,"DL","PDX","OR",45.58872,-122.5975
170,"delayed",980,109,"3","Tue",3,1100,FALSE,-1,1428,22,"US","PHL","PA",39.87195,-75.24114
138,"delayed",334,58,"7","Wed",15,1740,FALSE,56,1915,43,"UA","ORD","IL",41.9796,-87.90446
187,"on time",887,131,"12","Thur",17,1739,FALSE,0,1927,19,"OO","GTF","MT",47.482,-111.37069
